State,Measure Names,Year of Year,Measure Values
District of Columbia,Recreational boating fatalities,2018,0
District of Columbia,Rail fatalities,2018,0
District of Columbia,Highway Fatalities,2018,31
District of Columbia,Transit Fatalities,2017,2
District of Columbia,Recreational boating fatalities,2017,0
District of Columbia,Rail fatalities,2017,4
District of Columbia,Highway Fatalities,2017,31
District of Columbia,Transit Fatalities,2016,10
District of Columbia,Recreational boating fatalities,2016,0
District of Columbia,Rail fatalities,2016,1
District of Columbia,Highway Fatalities,2016,27
District of Columbia,Transit Fatalities,2015,8
District of Columbia,Recreational boating fatalities,2015,0
District of Columbia,Rail fatalities,2015,1
District of Columbia,Highway Fatalities,2015,23
District of Columbia,Transit Fatalities,2014,4
District of Columbia,Recreational boating fatalities,2014,0
District of Columbia,Rail fatalities,2014,0
District of Columbia,Highway Fatalities,2014,23
District of Columbia,Transit Fatalities,2013,8
District of Columbia,Recreational boating fatalities,2013,0
District of Columbia,Rail fatalities,2013,0
District of Columbia,Highway Fatalities,2013,20
District of Columbia,Transit Fatalities,2012,9
District of Columbia,Recreational boating fatalities,2012,2
District of Columbia,Rail fatalities,2012,0
District of Columbia,Highway Fatalities,2012,15
District of Columbia,Transit Fatalities,2011,12
District of Columbia,Recreational boating fatalities,2011,3
District of Columbia,Rail fatalities,2011,0
District of Columbia,Highway Fatalities,2011,27
District of Columbia,Transit Fatalities,2010,12
District of Columbia,Recreational boating fatalities,2010,2
District of Columbia,Rail fatalities,2010,1
District of Columbia,Highway Fatalities,2010,24
Florida,Transit Fatalities,2023,13
Florida,Recreational boating fatalities,2023,
Florida,Rail fatalities,2023,63
Florida,Highway Fatalities,2023,
Florida,Transit Fatalities,2022,13
Florida,Recreational boating fatalities,2022,66
Florida,Rail fatalities,2022,71
Florida,Highway Fatalities,2022,
Florida,Transit Fatalities,2021,17
Florida,Recreational boating fatalities,2021,61
Florida,Rail fatalities,2021,60
Florida,Highway Fatalities,2021,3738
Florida,Transit Fatalities,2020,7
Florida,Recreational boating fatalities,2020,72
Florida,Rail fatalities,2020,39
Florida,Highway Fatalities,2020,3329
Florida,Transit Fatalities,2019,10
Florida,Recreational boating fatalities,2019,62
Florida,Rail fatalities,2019,55
Florida,Highway Fatalities,2019,3185
Florida,Transit Fatalities,2018,7
Florida,Recreational boating fatalities,2018,57
Florida,Rail fatalities,2018,47
Florida,Highway Fatalities,2018,3135
Florida,Transit Fatalities,2017,8
Florida,Recreational boating fatalities,2017,66
Florida,Rail fatalities,2017,64
Florida,Highway Fatalities,2017,3116
Florida,Transit Fatalities,2016,6
Florida,Recreational boating fatalities,2016,70
Florida,Rail fatalities,2016,44
Florida,Highway Fatalities,2016,3176
Florida,Transit Fatalities,2015,8
Florida,Recreational boating fatalities,2015,52
Florida,Rail fatalities,2015,44
Florida,Highway Fatalities,2015,2938
Florida,Transit Fatalities,2014,8
Florida,Recreational boating fatalities,2014,70
Florida,Rail fatalities,2014,34
Florida,Highway Fatalities,2014,2494
Florida,Transit Fatalities,2013,15
Florida,Recreational boating fatalities,2013,58
Florida,Rail fatalities,2013,35
Florida,Highway Fatalities,2013,2403
Florida,Transit Fatalities,2012,13
Florida,Recreational boating fatalities,2012,50
Florida,Rail fatalities,2012,30
Florida,Highway Fatalities,2012,2431
Florida,Transit Fatalities,2011,12
Florida,Recreational boating fatalities,2011,61
Florida,Rail fatalities,2011,32
Florida,Highway Fatalities,2011,2400
Florida,Transit Fatalities,2010,14
Florida,Recreational boating fatalities,2010,69
Florida,Rail fatalities,2010,44
Florida,Highway Fatalities,2010,2444
Georgia,Transit Fatalities,2023,13
Georgia,Recreational boating fatalities,2023,
Georgia,Rail fatalities,2023,35
Georgia,Highway Fatalities,2023,
Georgia,Transit Fatalities,2022,7
Georgia,Recreational boating fatalities,2022,23
Georgia,Rail fatalities,2022,19
Georgia,Highway Fatalities,2022,
Georgia,Transit Fatalities,2021,6
Georgia,Recreational boating fatalities,2021,17
Georgia,Rail fatalities,2021,21
Georgia,Highway Fatalities,2021,1797
Georgia,Transit Fatalities,2020,12
Georgia,Recreational boating fatalities,2020,11
Georgia,Rail fatalities,2020,35
Georgia,Highway Fatalities,2020,1658
Georgia,Transit Fatalities,2019,5
Georgia,Recreational boating fatalities,2019,23
Georgia,Rail fatalities,2019,23
Georgia,Highway Fatalities,2019,1492
Georgia,Transit Fatalities,2018,6
Georgia,Recreational boating fatalities,2018,11
Georgia,Rail fatalities,2018,29
Georgia,Highway Fatalities,2018,1505
